tau, beta, Energy Variance after Cyclic Protocol 
10000.0,0.2535364493970112,3.3461658143031894e-14
10000.0,0.2656087782946686,3.6796527268944864e-14
10000.0,0.2782559402207124,3.7598390627462077e-14
10000.0,0.29150530628251764,3.94221708619342e-14
10000.0,0.30538555088334157,4.0965956910788847e-14
10000.0,0.3199267137797383,4.2297349521360796e-14
10000.0,0.3351602650938842,3.785119341737424e-14
10000.0,0.35111917342151316,3.648489357892385e-14
10000.0,0.3678379771828633,4.501998268676285e-14
10000.0,0.38535285937105296,5.0919818027778563e-14
10000.0,0.40370172585965547,5.756426043248958e-14
10000.0,0.42292428743894983,5.961046745401013e-14
10000.0,0.44306214575838804,4.933446082233975e-14
10000.0,0.4641588833612779,6.450619746820141e-14
10000.0,0.4862601580065353,1.0680779826799934e-13
10000.0,0.509413801481638,4.669319677733072e-13
10000.0,0.533669923120631,1.381487089509651e-12
10000.0,0.5590810182512224,6.047334967044307e-12
10000.0,0.5857020818056666,7.60005836436555e-12
10000.0,0.6135907273413173,9.168111718683494e-11
10000.0,0.6428073117284321,2.400009428647876e-10
10000.0,0.6734150657750821,5.592649143408068e-10
10000.0,0.7054802310718643,1.3318494064009621e-09
10000.0,0.7390722033525778,4.794747505549742e-09
10000.0,0.7742636826811271,8.450876869241163e-09
10000.0,0.8111308307896871,1.826458700404906e-08
10000.0,0.8497534359086443,3.106227849886282e-08
10000.0,0.8902150854450386,4.4266039772167004e-08
10000.0,0.9326033468832199,7.904943881672841e-08
10000.0,0.9770099572992252,1.3795295349937508e-07
10000.0,1.0235310218990261,2.5627137827569723e-07
10000.0,1.0722672220103233,3.962914530968019e-07
10000.0,1.1233240329780274,8.701038175070739e-07
10000.0,1.1768119524349985,1.7358855047974158e-06
10000.0,1.2328467394420661,2.720845988585139e-06
10000.0,1.2915496650148839,7.3562029166124895e-06
10000.0,1.353047774579807,8.493278583764726e-06
10000.0,1.4174741629268053,1.6977807784190016e-05
10000.0,1.484968262254465,3.418869133402175e-05
10000.0,1.5556761439304718,6.150294317250828e-05
10000.0,1.6297508346206442,9.338573422033252e-05
10000.0,1.7073526474706906,0.00017718539372369544
10000.0,1.788649529057435,0.0002808052721912022
10000.0,1.8738174228603839,0.0004094908889048341
10000.0,1.9630406500402708,0.00044091725011218344
10000.0,2.0565123083486516,0.0007493551513585105
10000.0,2.154434690031884,0.0009631118738552551
10000.0,2.25701971963392,0.001406225063444922
10000.0,2.3644894126454075,0.002081998865606855
10000.0,2.4770763559917106,0.0021061879100689298
10000.0,2.595024211399736,0.0027143538211300004
10000.0,2.718588242732941,0.003227629198071959
10000.0,2.8480358684358014,0.003316414418094068
10000.0,2.9836472402833394,0.004253672571422844
10000.0,3.1257158496882362,0.004484381509687146
10000.0,3.2745491628777286,0.005653983503060652
10000.0,3.4304692863149184,0.005908291944234045
10000.0,3.5938136638046276,0.006226109558903533
10000.0,3.7649358067924683,0.006226662581327909
10000.0,3.944206059437655,0.006270637721751592
10000.0,4.132012400115337,0.007702645947828749
10000.0,4.328761281083058,0.009118722381996637
10000.0,4.534878508128582,0.009257076189525997
10000.0,4.7508101621027965,0.009642918114073739
10000.0,4.977023564332112,0.009134585984014296
10000.0,5.214008287999684,0.010950193517569071
10000.0,5.462277217684341,0.01042511743829798
10000.0,5.722367659350217,0.010803623405773224
10000.0,5.99484250318941,0.010380663237805694
10000.0,6.280291441834253,0.009801281450321957
10000.0,6.579332246575681,0.010865533519481224
10000.0,6.892612104349697,0.011453416811650642
